mint,action,confidence,reasoning,modelLatencyMs
6msikwUhHZQ34hk3enguCbb35EqhcEB7y5KEBafcPfun,SKIP,0.75,Token at 83% curve with zero holder growth momentum and 33% top-10 concentration is too concentrated despite positive volume acceleration.,2138
CrbdFYHReUsUG9VZjoTXYHYW7DtorbConQmwFBU3pump,BUY,0.72,"Mid-curve position with volume acceleration, healthy holder count, zero dev red flags, and meta alignment; holder growth stalled but fundamentals support entry.",2077
7pykXUmT2dWd3pTPT9pjVVN6dgTXzynv5BamHHCypump,BUY,0.72,"Token shows strong momentum signals: accelerating volume, healthy 119 unique holders with low dev concentration (0% sold), clean dev history, mid-curve positioning at 45%, and name fits current meta alignment.",1999
CLXzRQZnWW713PX1qheF7VmBeaEznbMaAfVE73zD8fun,BUY,0.72,"Strong mid-curve momentum with accelerating volume, healthy holder count, dev holding full bag, fits meta tags; only concern is zero new holder growth in past minute suggesting possible plateau.",1683
4U2Lz8wTMbk2rAusHC7mGiPFb7BBf7yEeJJaC26Wpump,SKIP,0.75,Holder growth flatlined at zero per minute despite volume acceleration and healthy curve position—indicates momentum is hollow and real adoption interest has stalled.,1758
HRzXDUDnd2ahJt3pbunJujoafFV96vv6A14kvybHpump,BUY,0.72,"Mid-curve position with volume acceleration, zero dev red flags, healthy holder count, and meta alignment; early momentum window still open.",1504
8LH6HZ1W9FMAn4Qf6Z5w97g8YGCYhR7ToUwte5sqpump,SKIP,0.75,Zero holder growth in last minute despite volume acceleration suggests momentum may be stalling at 65% curve position; insufficient multi-signal confirmation for entry.,2561
5vwU2UVEtBFK1hSLehGKmfrT7ww1vreQwvUgSkampump,BUY,0.72,"Mid-curve position with accelerating volume, healthy holder count, zero dev red flags, and meta alignment; holder growth stalled but otherwise clean setup warrants entry.",1824
3UfrXdGQM2LEqrP6TmLksHGc3bWEYYCh29EJxEGjpump,SKIP,0.85,Zero holder growth in the last minute despite volume acceleration signals potential stall; mid-curve position with flat momentum does not justify entry into an unknown meta token.,2674
FpqLUhrAe5tsSEquAjPU6njFjjLqs48ucYYXJ8iwpump,SKIP,0.75,Holder growth stalled at 0/min despite volume acceleration and healthy midcurve position; top10 concentration at 39% is borderline concerning.,1661
3AAFzcyNpSL62t565pM98VdJTSn6jLEmgpGoFxhQpump,BUY,0.72,"Mid-curve position with accelerating volume, zero dev dump, healthy holder count, and strong meta fit across multiple hot tags outweigh the flat holder growth signal.",2603
75MEdUeW85kVzQ2RHLNTBYmuBunLD2RUiK8RWGZhsKTs,BUY,0.72,"Mid-curve position with accelerating volume, healthy holder count, zero dev sales, no rug history, and strong meta alignment; holder growth stalled but other signals sufficiently converge.",1856
3u2ttnF2Z4NhgtjieuFNQMcU1s2pYWMQ9nVFTiEmpump,BUY,0.72,"Strong momentum with volume acceleration, healthy holder distribution (252 unique, 21% top-10), solid curve position at 63%, dev holding 100%, fits hot meta tags (game/gg), and clean launch history.",2487
8rgcdLEjxyVreqn6ykmweLotgEVxyEp2R8JdP5NXpump,SKIP,0.82,Zero holder growth in last minute despite volume acceleration signals stalled momentum; mid-curve position requires sustained health metrics to justify entry.,1874
2dRj46dkcrS9yaeWUJNUpCHgb9pDBAwMS4VKUUqapump,BUY,0.72,"Mid-curve position with accelerating volume, zero dev dump risk, healthy holder distribution, and relevant meta fit align for a graduation-window entry.",1497
GcaAmjhhVWKv4UrLaZp3GdKGkkpoeiCi4LNJzFwepump,BUY,0.72,"Mid-curve position with accelerating volume, healthy holder count, dev retained ~34%, strong game/lottery meta fit, but monitor dev closely given prior launch history.",2298
FjXGHHqPGvainmg8VuQkkzs8nEWiXVgjhSK1A6BVpump,BUY,0.72,"Mid-curve position (61%), volume accelerating, healthy holder count (253), low dev concentration (0% sold), no prior rugs, and meta alignment—multiple signals align despite flat holder growth.",2229
Dud4aYN3adcdPWZiTiVoNBZsZELpD5ZoxdJzPu8Upump,BUY,0.72,"Mid-curve position with volume acceleration, healthy holder distribution, dev still holding, and meta alignment; holder growth has stalled slightly but multiple positive signals converge.",2004
G5aGkMvhMNdzbNhdeC8PEsaHT8mHSBp6Hz9krxhRpump,BUY,0.72,"Token at strong curve position (64%) with volume acceleration, healthy holder distribution, dev holding bag, and fits hot meta tags; holder growth stalled is minor concern but other signals align.",1944
DUFJ2JbBJirGkLWxrtExf6rrr54Ypy6SySLgAkVdpump,BUY,0.72,"Token at healthy 68% curve progress with accelerating volume, 165 holders, low dev concentration (0% sold), zero rug history, and meta alignment; however, zero holder growth rate and modest top-10 concentration temper conviction.",2060
7Q6riNvHvNFFsdjq7yLL4w21ocVo15Dne5QR2XRrpump,SKIP,0.95,"Holder growth stalled at zero per minute despite volume acceleration, signaling weakening conviction despite mid-curve position and healthy dev metrics.",1605
AzdH7VU8EKFKhzRcsVoYBBKDcoWveEGhGie9Zcyopump,SKIP,0.75,Holder growth stalled at zero per minute despite volume acceleration signals early momentum loss.,1792
EVay4tM2roeMcwQyoTofdSBMUJeUYgZwnrAb6dpVpump,BUY,0.72,"Token at 63% curve with zero dev dump, 263 holders, volume accelerating, and dev-first launch profile; meta tags align with current hot themes despite flat holder growth rate.",1979
2TLNnkM71kSGuVpxiSV2dudBXUgQXsSnQbbSKrSSpump,SKIP,0.85,Token is too young (242s) with zero holder growth momentum in the last minute and flat metric trajectory despite volume acceleration—insufficient conviction for entry.,3144
QHigH762BWm2PB5KEiehyPVpHbdk8HNfJFX2NAnpump,BUY,0.72,"Strong momentum with accelerating volume, healthy holder distribution (99 unique, 28.76% top-10), mid-curve position at 43.7%, dev fully intact with no rug history, and meta alignment with trending tags.",1849
3bBQrzzq9DRXXFfC9nUno9m1MBm9Y7dVnBBK44bVpump,BUY,0.72,"Mid-curve position with volume acceleration, zero dev dumps, healthy holder count, and dev-first launch; holder growth stalled slightly but early-stage timing and clean history outweigh minor concerns.",1996
DQjXSW2MrNqKfq2aLXTpw47atLnkdm877gRHPWMVpump,SKIP,0.95,"Dev already dumped 41% of supply and holder growth stalled at zero per minute despite high bonding curve position, signaling momentum failure.",1853
2y8TRb6VVpRgnmZDsEzzPspGj5SNxskjZbXynqsmpump,BUY,0.72,"Solid mid-curve position with accelerating volume, clean dev history, healthy holder distribution, and meta-aligned branding despite flat holder growth recently.",1592
8b1k1qTN8TrRPsGS9q6Nbm6QsVb6PxzZMVTCY9oxpump,BUY,0.72,"Early-stage token with healthy holder count, mid-curve position, volume acceleration, no dev rug history, and dev still holding 42% of bag despite recent partial exit.",1616
9qhzBmwbKmh7PUSrahEMBtQSWyu6KqvxYfmfCZPqpump,BUY,0.72,"Mid-curve position with accelerating volume, healthy unique holders, zero dev red flags, and clean launch history align on entry; holder growth stalled but all other momentum signals present.",1903
6JK1DdCU7eTt6VspgEavWGZxLkyZsa1DYNyG9ztpump,BUY,0.72,"Multiple signals align: strong bonding curve position (63%), accelerating volume, healthy holder count (133) with reasonable top-10 distribution (30%), dev holding full bag with clean history, and fits hot meta tags.",1979
Hge6oEpZnmMDkMn4GFW3iDYgVuALArRrNvsCW7VRpump,BUY,0.72,"Mid-curve position with accelerating volume, healthy holder distribution, clean dev history, and hot meta fit create convergent signals for graduation-window entry.",1448
3LzDGqiY7kJA8aa3RpCnvy7UoU7hBz65s1nUXcqAfomo,BUY,0.72,"Token 4min old at 41% curve with accelerating volume, 326 holders, clean dev history, and meta fit; however, zero holder growth in last minute is concerning.",1732
8BRNhhxyusRDo3UH4uKQ2GzcGm22VLmQu4eeEJJrpump,SKIP,0.92,"Holder growth stalled at zero per minute despite volume acceleration, and 37.69% top-10 concentration is too high for mid-curve safety.",2965
2WhtDtUxWtJFS71PKuozvTKqmdfUatH2dhiu8G4Lpump,BUY,0.72,"Token is 4min old at 77% curve with volume accelerating, 137 unique holders, zero dev selling, and fits current meta—multiple confirmations justify entry.",1624
6aAh7LLEoS3uHzdhQktmxG2rUbkWcXVfsTUMsqJ4pump,SKIP,0.85,Holder growth stalled at zero per minute despite mid-curve position and volume acceleration—insufficient momentum confirmation for entry.,1733
DTHfJ9MVDx7Vq3ohV6oAy8BFpovCF7oEBvPonScmfomo,BUY,0.72,"Mid-curve position with volume acceleration, healthy holder count, clean dev history, and aligned meta tags confirm graduation-window momentum setup.",2151
96GjV6YmD6gPtyikgcKfCvba4dRv6VwRmEBuycXkpump,BUY,0.72,"Midpoint curve position with accelerating volume, healthy holder count, clean dev history, and zero dev dumping; meta tags align with current trends.",1843
F3FwvuZEX51rNRbFvaFTzxobwycJ3WaRZGiMQkmnpump,BUY,0.72,"Mid-curve position with volume acceleration, healthy holder count, zero dev red flags, and game meta alignment; holder growth stalled slightly but otherwise solid graduation setup.",2457
92JjBgVFpeYSMjwChtxsTmD8VogTVuLsv8VWCzBtfomo,BUY,0.72,"Token at favorable 50% curve position with accelerating volume, healthy 351 unique holders, dev fully committed (0% sold), no rug history, and momentum signals aligning despite flat recent holder growth.",2580
AYVyCTkPD4zVnmAYm7QoUzhbmWaetkaviz3RT2n2pump,SKIP,0.85,"Holder growth stalled (0/min) despite volume acceleration and reasonable curve position, indicating momentum loss and insufficient multi-signal confirmation.",1908
EuNqbtTvbKWb2nGpFEQaqa7bp5X4Nek4EZ4hS7oTpump,BUY,0.72,"Mid-curve position with volume acceleration, healthy 106 unique holders, dev holding full bag with clean history, and fits trending game meta—but zero holder growth in last minute is a minor concern.",1774
7yVbC1eKmyxSe4rEauwdtSqhC8jUDF4jC2kFqkVipump,BUY,0.72,"Mid-curve position with accelerating volume, healthy 99 unique holders, dev holding full bag, and game-meta alignment confirm entry setup.",1597
GhUXkqZ7RxqZVmvpvtQS6bdkz3wB6YJafMM7G7hhpump,BUY,0.72,"Token at ideal 52% curve position with zero dev selling, healthy 144 unique holders, accelerating volume, clean launch history, and fits hot meta tags despite flat holder growth needing monitoring.",2329
8CAt6bpDKZvLxENkbU5bUaYiEtwMfy4kNQ87dSacpump,BUY,0.72,"Mid-curve position with accelerating volume, zero dev selling, healthy holder distribution, and established meta fit; holder growth stalled recently is a minor concern but other signals align.",1910
FaPpiuzWZULbCKeh4u2fPHJVtMQ8sCfHT2ehTgyZpump,BUY,0.72,"Mid-curve position with volume acceleration, healthy holder count (95), low dev concentration (0% sold), no rug history, and meta alignment; holder growth stalled slightly but multiple positive signals confirm entry.",1807
DoRhQenhqNC9K1DBDCmPNHniPsSoE2oyk7zyUjP2pump,BUY,0.72,"Strong momentum signals with volume acceleration, healthy 108 unique holders, mid-curve position at 52.7%, dev holding full bag, and meta alignment with gaming/mayhem trend.",1660
7xv3o5bb4zcwvaCdyFToziqt7f3KVBHrL9CKUDDKpump,BUY,0.72,"Mid-curve position with volume acceleration, healthy holder count (101), low dev concentration (0% sold), zero rug history, and strong meta alignment (game/hype tags match current trends.",1924
A7agBDfExRUwHJX4nK2Ab5G34vftJr5hRgBCBwqXpump,SKIP,0.35,Holder growth stalled at zero per minute despite volume acceleration and reasonable curve position; concentration risk with 38.72% top-10 holding demands stronger momentum confirmation.,2079
261j6kNbbLSyz1kc24qgUYWcTnUsRhb1DbwAsvoepump,BUY,0.72,"Strong momentum signals with volume acceleration, healthy holder distribution (139 unique, 20% top-10), mid-curve position at 67%, clean dev history with zero sales, and aligned meta tags; low holder growth rate is the only minor concern.",2018
8cZeBjPRyC7nBWEZzt5C9ckkNbqcnqoR5dKtWLkKpump,SKIP,0.85,Holder growth stalled at 0/min despite acceleration signal; insufficient momentum confirmation in graduation window.,1866
5crpmGB6srMuBhDDdHdPXFtmYPeP39etanwwvUhMpump,BUY,0.72,"Strong momentum with volume acceleration, healthy holder distribution (281 unique, 20.5% top-10), dev holding full bag, mid-to-late curve position at 80.8%, and meta fit with popular tags.",3800
HgxF4t3vvpvNAA9M1w8rv199mn5GHQYrgGDab5N9pump,BUY,0.72,"Multiple confirms: 74% curve progress, accelerating volume, zero dev dumps, healthy 269 holders with low 20% top-10 concentration, and meta fit (gary/official tags align with current trends).",1790
5iPJApSBeBuRtBQtBdTZT16mmpVWcvozTJosHGCjpump,BUY,0.72,"Token near graduation (80% curve), strong holder count (210 unique), dev holding full bag, volume accelerating, and fits hot meta tags; however, zero holder growth this minute is a caution flag.",2067
pQ7VeXJGCE8LEBLUUoLGFqiLNJJfJH6Pj2vRPj8pump,BUY,0.72,"Token at 82% curve with accelerating volume, 127 holders, dev holding 100%, and fits current meta tags; however, zero recent holder growth and elevated top-10 concentration (34.5%) limit conviction.",1929
7C6uJoLoPHWcC4PcLXBrAFJmzzYUvG5EhLwvzWtSpump,BUY,0.72,"Mid-curve position with volume acceleration, clean dev history, and hot meta alignment, but zero holders yet is concerning—entry justified by momentum setup but high early risk.",1798
4ofenvShFxs41ySNkDN2pTdXJ2YvepnKSJ2bhQPvpump,BUY,0.72,"Strong volume acceleration and healthy curve position at 44% with zero dev selling, though zero holders data is anomalous and requires caution.",1590
77dAJPkLEXeYMyekgo1fDqXGH29Nt2x5gzruTkHHpump,BUY,0.72,Strong momentum with volume acceleration and healthy 213 holders at 75% curve progress; dev holding bag clean; matches hot dog-meta tags; holder growth stalled is minor concern but other signals align.,2870
GdvX77jHPhRmYNMw3rjSbheUkJPEp5MamSC1CPn8pump,BUY,0.72,"Strong momentum with accelerating volume, healthy holder distribution at 84% curve progress, dev holding full bag, but zero holder growth rate and lack of recent holder acceleration tempers conviction.",1736
CB9LL9nwAuiUjY6PioScx7qr7FPM6wXGAerQ79hfpump,SKIP,0.85,Holder growth stalled at 0 per minute despite volume acceleration; mid-curve position with weak momentum confirmation signals exit over entry.,1613
AHRLbSdsMYdW6wcwBas5SgUkVq5GKgtz1pkqfLjCpump,BUY,0.72,"Token at 79.7% curve progress with accelerating volume, zero dev dumps, healthy 100 unique holders, and no rug history; fits current meta tags but holder growth stalled recently.",1836
9hNgSM1UwfhF66hLPdaNjUobepLgEHeC4TNKCHNWpump,SKIP,0.92,"Holder growth stalled at 0/min despite volume acceleration and reasonable curve position, signaling momentum loss at critical early stage.",2117
D7mhEj6B8GyRo4FvMyLGZeRSzNRphcj4Uw3KaMQ8pump,SKIP,0.85,"Holder growth stalled at zero per minute despite volume acceleration, signaling early momentum exhaustion before graduation window.",1455
9DE6jYP1uBrt8EwYj2ErTtCSNCLz2rvAzqkA7czxpump,BUY,0.72,"Token at 74.75% curve with 145 holders, zero dev selling, accelerating volume, and clean launch history; however, zero holder growth in last minute and modest top-10 concentration (15.81%) warrant caution.",3385
4zT3xfNgjoEk46NUPFt4GjK8avHL1M77Y1sBdmTrpump,SKIP,0,api_error,329
H7CkcAjS8E56ZU9sRmWbzXXTEyWXPVpTUkeSZBLJpump,SKIP,0,api_error,348
6rUpVFQXUmoFxhNSrzrnhade2XWUyceD4eKqSKPapump,SKIP,0,api_error,347
cY435H7F4wcZ4NgWQFM3wUjBDffdb3qdsQST2EVpump,SKIP,0,api_error,395
ETtABB3uDgZonCLohMv87zD1DQ74w1en2XEGMwNtpump,SKIP,0,api_error,349
14CTgQbTJcUQMq1bPH45kF2XLgZkHXaJych9Fj1kpump,SKIP,0,api_error,524
8ZNsrNTRZZmqZoTNTLhyu8rqhLXyTbCpbZeBbYBQzvqP,SKIP,0,api_error,349
4F1id46kLCxhpwszcRFRXvj3uzk3eEG5ycXuN5S4pump,SKIP,0,api_error,384
9gVWVw7kfMaUoF7Qx2MFs7VJk3o35YG8sUG6pec7pump,SKIP,0,api_error,355
GtN6g4goM6TknvaG7F6oTEpdExtkgMy3veZzsFD6pump,SKIP,0,api_error,374
3d76NKcF2eaEshBDBaU2zdhepnUFXicwGBhK6PaSpump,SKIP,0,api_error,372
7S46je3svS3dXBkT89mLjd85WBRJdQLb8TPTfkHSpump,SKIP,0,api_error,364
8Mbxzi37AHnQug5H3EWiYaDSxsZxeqHoSx21WphEpump,SKIP,0,api_error,466
HidR2gtc6Ded7rGeYoSEKa4ud6wqP3JPbuB2wHGgpump,SKIP,0,api_error,341
9KNoVkNKSx6GrMcF4TbMu9LL2X61CaBxBAaQhQuipump,SKIP,0,api_error,470
J9uiX5CLZ8x9Dk1QDDnDFC8Fw3UZQDnnL8RK3GJGpump,SKIP,0,api_error,474
Bh77MrPYg8RRQPZ8kxRUyCCa5VrQzFzqLzdFtBgwpump,SKIP,0,api_error,358
HxXve5u46BNutV2QLyYW7jZFfrSrp1e7pGCvKKN1pump,SKIP,0,api_error,504
3MuboDr1XiSNVz4UuqQEV1eNyFpDxikK3g3eEdPLpump,BUY,0.72,"Token at ideal mid-curve position with volume re-accelerating, healthy holder count, dev fully committed (no sales), and alignment with hot meta tags; holder growth stalled recently but multiple other signals support entry.",2063
SLVTKDwzZ4GRBwDxaAA9biL29YZepQX8aWTX7paBpzx,SKIP,0.95,"Dev has already sold 60% of their bag and holder growth stalled at zero per minute, signaling weak conviction and momentum loss despite volume acceleration.",1786
8P3z2LNkdVMANNGZxM4CiA2dSDbmRqcWcw97go6Cpump,BUY,0.72,"Mid-curve position with accelerating volume, healthy holder count, dev retained 34% with no rug history, but top-10 concentration at 34% is moderately elevated and holder growth has stalled.",2004
4gGGBL1F28FjhmDFmi3TDgYH7wn1o7Yn1WNceLL5pump,BUY,0.72,"Mid-curve position with volume acceleration, clean dev history, healthy holder distribution, and strong momentum despite zero recent holder growth—meta fit (sbf/mayhem) aligns with current trends.",1911
2fHqck8fyk9NciRWvRHCnNqLjBbz3n1tjNEoSzhapump,BUY,0.72,"Token shows strong momentum (volume accelerating, 224 holders, healthy curve position at 55.6%), dev fully committed (0% sold, no rug history), but holder growth stalled this minute and top-10 concentration at 36.8% is slightly elevated—multiple signals align enough for entry.",2602
rSRrNohFtSiEjhdcVcJTNbx6RMbczLt7EPaVQZtpump,BUY,0.72,"Mid-curve position with accelerating volume, healthy holder count, zero dev red flags, and dev still holding majority of bag; momentum and distribution align for graduation window entry.",1726
DaFBv5dXirm6Mp7cpYoqRUs5u8qA6Sk3ZxJzFSGXpump,BUY,0.72,"Mid-curve position with accelerating volume, zero dev dumps, healthy holder count at 110, and dev first-time launch signal alignment with hot meta tags supports entry.",2164
BzcAzzqqAd6r2CmXiDJVc3KKvGSfkKEDxuEzaPbEpump,BUY,0.72,"Mid-curve position with accelerating volume, healthy holder count, dev holding strong, fits hot meta tags, but zero recent holder growth and slightly concentrated top-10 require caution.",2052
4XRCJkkqYZXhMLu2chJ2Sdw3wR6dYZTu9aTS222Kpump,SKIP,0.85,"High dev sell-off (16.6%) and zero holder growth despite accelerating volume signals unsustainable momentum; combined with moderate top-10 concentration (36.8%), conviction insufficient for entry.",1952
GwwXmFiyAVZVaT76aKDxUPfzZZ2PhTCF7GqUfPbkpump,BUY,0.72,"Mid-curve position with volume acceleration, healthy holder count, clean dev history, and zero dumping; however, zero holder growth and elevated top-10 concentration warrant caution.",1585
BfChhbvFEvjHUXZGC58coM3WnV9JtG1nBCHQ2oY3pump,SKIP,0.85,"Holder growth stalled at zero per minute despite volume acceleration, indicating momentum loss at critical graduation window stage.",1554
aH74xQD1VTEwA9ZZxBZSZPijfYdyiHgQebDbCWkpump,BUY,0.72,"Strong momentum with volume accelerating and 63% curve progress, clean dev profile with zero sells, 94 holders with reasonable 37% top-10 concentration, but holder growth stalled in last minute is mild concern.",1826
CjUsokpKJ2js9eNm8fCbiktKVTqLKAx14AmPjdKbpump,BUY,0.72,"Token at healthy mid-curve position (47.5%) with accelerating volume, zero dev rug history, acceptable holder distribution (120 unique, 31.8% top10), and dev retention at 60% despite 40% sales; fits hot meta tags but holder growth stalled is minor concern.",2355
F6yUmmjU3y716dQsy2xV6YzSaPLrfTfgBzoF7Cnmpump,BUY,0.72,"Token at 66% curve with accelerating volume, zero dev selling, healthy 146 holders despite moderate top-10 concentration, and clean launch history align on a mid-band graduation setup.",3702
A1BgULT89rcMraEVf5HnKSW725RuPuFYu1dsvDz9pump,SKIP,0.85,"Holder growth stalled at 0/min despite volume acceleration, and top-10 concentration at 35.5% is elevated for mid-curve stage.",1558
FHx7FSJpJqJXFxQGZPaguNyRxywdiBFFsiwu3BZccHAY,BUY,0.72,"Token at strong 71% curve position with accelerating volume, healthy 99 unique holders, dev holding full bag with no rug history, and fits hot meta tags; holder growth stalled is only minor concern.",2024
EHbk6Mj43PR83t9yT2YgFQSCuzVvy8MAPtqJAZWWpump,SKIP,0.75,"Token at 84.8% curve with zero holder growth last minute despite volume acceleration signals stalling momentum near graduation, suggesting late-entry risk.",1845
GFcYcybmCQwx1yj6dQ3i5CMBM1hJvCtjtpatDGijpump,BUY,0.72,"Strong momentum with accelerating volume, clean dev history, healthy holder distribution, solid curve progress at 70%, and positioned in hot meta tags—multiple confirmatory signals for graduation-window entry.",2305
2ZYT2onVuqaSf121sz3u3YjDAV1seKPPu2WXpMn5pump,SKIP,0.92,"Holder growth stalled at zero per minute despite high curve position and volume acceleration; developer has 62 prior launches suggesting pump-and-dump pattern behavior, and top-10 concentration at 34% is concerning for mid-curve stage.",2541
D8bmt1ZNv1sZyi9Y6rXcX1Wo5WcpqzEVVxGUv3okpump,BUY,0.72,"Mid-curve position with accelerating volume, zero dev dumping, healthy unique holders, and holder growth signals; low top-10 concentration and clean dev history support entry into graduation window.",2035
6jsM4aqkQSndHWGKe4cp14dRbMqQAvEgmHYW7ZRzpump,BUY,0.72,"Strong momentum with volume acceleration, healthy 242 holders at 65% curve position, dev holding full bag with no rug history, and NPC fits meta zeitgeist despite flat holder growth pause.",1915
D8tEtNsbygEd2c6KYzYaPGwECX1UY4mXnaJtZRDtpump,BUY,0.72,"Mid-curve position with volume acceleration, healthy holder count, clean dev history, and zero dev selling; holder growth stalled is the only concern but other signals align.",2047
9XbNoEsqpCbhoQhG9XGQTkKhrGAXVc5dDmvPSXfHpump,SKIP,0.75,"Token is at 87% bonding curve with zero holder growth rate and already elevated top-10 concentration (30%), indicating weakening momentum despite volume acceleration—missing the multi-signal confirmation needed for entry.",6440
8pejFwukVn34rZzYarHD7qDV7pcXWviQzbwmnn1Ypump,BUY,0.72,"Token at ideal mid-curve position with volume acceleration, zero dev selling, healthy unique holder count, and no rug history; holder growth stalled is minor concern but multiple other signals align.",1870
4nJQuM7Wd6HhfcqpAwNPyYCtBKv8B4q7XVK3BQEupump,SKIP,0.85,Holder growth stalled at zero per minute despite volume acceleration; mid-curve position with weak momentum confirms graduation risk is too high for entry.,2572
DTqKRdZppNhTXMuDUMW36aw1F5thvURs5vCePbz5pump,BUY,0.72,"Mid-curve position with accelerating volume, healthy holder count, zero dev red flags, and strong holder growth momentum despite recent stall suggests window opportunity.",4763
3RqNpZZM7r2FGpksU1KHF3rYwPpK7GH62Bofgtrfpump,BUY,0.72,"Strong momentum with volume acceleration, healthy holder count (85), dev holding full bag, mid-curve position (72.5%), and no rug history; holder growth stalled slightly but other signals align sufficiently.",2064
Cgbf2kCYpZL5EXjdj2QRvmjPbSgimmuDmzF3TjwY83je,BUY,0.72,"Mid-curve position with volume acceleration, healthy holder count, dev holding full bag despite 908 prior launches showing experience, though zero recent holder growth is minor concern.",2151
2wTQhPj7SRLoeKXKdMzcmU2XfzPtVaa5evSWU73Spump,SKIP,0.72,Holder growth stalled at 0/min despite volume acceleration and healthy curve position—indicates momentum loss at critical graduation window.,1546
4ZjEZEjt1P2JTbmv4HmQ8SpNFpcEXXSq8gk9GQSEpump,BUY,0.72,"Strong mid-curve position at 68%, volume accelerating, healthy holder count, dev holding full bag with clean history, though recent holder growth stalled—momentum signal present but not overwhelming.",1897
21ZmcujEBrfkSLcVLn9t9Vesu97ZeKkNPnQ6JcTopump,BUY,0.72,"Mid-curve position with accelerating volume, clean dev history, healthy holder count, and no red flags despite weak holder growth signal.",1571
UAeXU2adRXYmakn4UbHNxSmKd9trzz9AchiqbK8pump,BUY,0.72,"Mid-curve position with volume acceleration, zero dev sell-off, healthy holder count, and no red flags despite weak holder growth rate.",1643
9c7Dgnspy3c6C5mtoRYFKsYpJaG4npcoP5fRRJjiWiLL,BUY,0.72,"Strong momentum with accelerating volume, healthy holder distribution (247 unique, 29% top-10), mid-curve position at 63%, dev fully committed with zero sales, and meta-aligned; minor concern is zero holder growth velocity but sufficient independent signals to enter.",2098
